country,iso2c,iso3c,year,NY.GDP.PCAP.CD
France,FR,FRA,2022,40886.2532680273
France,FR,FRA,2021,43671.3084099631
France,FR,FRA,2020,39179.7442596057
France,FR,FRA,2019,40494.8982936276
France,FR,FRA,2018,41557.8548588876
France,FR,FRA,2017,38781.0494870836
France,FR,FRA,2016,37062.5335723829
France,FR,FRA,2015,36652.9223052178
France,FR,FRA,2014,43068.5487241739
France,FR,FRA,2013,42602.7179652667
France,FR,FRA,2012,40870.8523645734
France,FR,FRA,2011,43846.4660764798
France,FR,FRA,2010,40676.0647913181
France,FR,FRA,2009,41737.7635518137
France,FR,FRA,2008,45515.9617533473
France,FR,FRA,2007,41557.6235648179
France,FR,FRA,2006,36470.2128399313
France,FR,FRA,2005,34768.1759037525
France,FR,FRA,2004,33797.1624418436
France,FR,FRA,2003,29627.92426353
France,FR,FRA,2002,24288.2700193508
France,FR,FRA,2001,22449.3396931175
France,FR,FRA,2000,22416.425417915
France,FR,FRA,1999,24678.3910613218
France,FR,FRA,1998,24971.5744885632
France,FR,FRA,1997,24226.8846867539
France,FR,FRA,1996,26870.2852380937
France,FR,FRA,1995,26889.4250554833
France,FR,FRA,1994,23496.367675721
France,FR,FRA,1993,22380.331904695
France,FR,FRA,1992,23814.227367599
France,FR,FRA,1991,21675.7060879719
France,FR,FRA,1990,21865.5552539348
France,FR,FRA,1989,17747.5815980944
France,FR,FRA,1988,17727.5108342779
France,FR,FRA,1987,16340.7259713299
France,FR,FRA,1986,13566.6607729285
France,FR,FRA,1985,9778.08530538681
France,FR,FRA,1984,9430.06964816743
France,FR,FRA,1983,9998.97521903088
France,FR,FRA,1982,10501.6091345216
France,FR,FRA,1981,11116.86105785
France,FR,FRA,1980,12738.5200524368
France,FR,FRA,1979,11213.0236211621
France,FR,FRA,1978,9299.77404965756
France,FR,FRA,1977,7566.66255936088
France,FR,FRA,1976,6899.06957775716
France,FR,FRA,1975,6717.43948868856
France,FR,FRA,1974,5345.92156814952
France,FR,FRA,1973,4984.19668411585
France,FR,FRA,1972,3865.92540043539
France,FR,FRA,1971,3180.3374404808
France,FR,FRA,1970,2870.15751000611
France,FR,FRA,1969,2767.61543140447
France,FR,FRA,1968,2553.97584327959
France,FR,FRA,1967,2363.66966905413
France,FR,FRA,1966,2209.0001728109
France,FR,FRA,1965,2060.29971514635
France,FR,FRA,1964,1928.99940153416
France,FR,FRA,1963,1758.85665897749
France,FR,FRA,1962,1585.73531130188
France,FR,FRA,1961,1430.43462423276
France,FR,FRA,1960,1333.88157286682
